u,v,key,osmid,oneway,lanes,ref,highway,maxspeed,reversed,length,rfid_c,rfid,avgspeed,time,bridge,RP100_me,RP100_fr,RP1000_me,RP1000_fr,dam_RP1000_HZ_segments,dam_RP1000_HZ,dam_RP100_HZ_segments,dam_RP100_HZ,risk_HZ_segments,risk_HZ,name,junction
298438528,9646055861,0,1095936808,True,1,nan,secondary,50,False,33.221,"[2433, 2282, 2434]",120,50.0,0.001,nan,,1.0,1.7894736842105263,1.0,"[849.28, 752.17, 799.09]",2400.54,"[nan, nan, nan]",0.0,"[4.67, 4.14, 4.39]",13.2,Maastrichterweg,nan
355917887,4980868656,0,"[1094519680, 1094519681, 1094518829, 6778694]",True,"['1', '2', '3']",A79,"['motorway', 'motorway_link']",100,False,1160.3159999999998,"[2212, 43, 46, 879, 81, 2387, 2389, 2390, 56, 1599]",58,100.0,0.012,nan,1.0,1.0,1.0,1.0,"[19819.13, nan, nan, nan, nan, 19740.48, nan, nan, nan, nan]",39559.61,"[19819.13, nan, nan, nan, nan, 23500.57, nan, nan, nan, nan]",43319.7,"[2081.01, 0.0, 0.0, 0.0, 0.0, 2446.88, 0.0, 0.0, 0.0, 0.0]",4527.89,nan,nan
355917887,6284808447,0,"[6778696, 1094519682, 1356676043]",True,1,A79,motorway_link,"['130', '80']",False,814.7999999999998,"[133, 2700, 150, 919, 1943, 920, 921, 2208, 2209, 2210, 1713, 2236, 2237, 2240, 2241, 2242, 2243, 2244, 2256, 88, 89, 91, 93, 104, 105, 106, 107, 108, 1137, 1139, 1140, 125]",113,105.0,0.008,nan,,1.0,,1.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,nan,nan
364718988,8575829417,0,"[6777666, 1094543644]",True,"['2', '3']",A2,motorway,100,False,577.867,"[866, 836, 2407, 946, 947, 948, 853, 1973, 2167]",116,100.0,0.006,nan,,1.0,1.6210526315789473,1.0,"[nan, nan, nan, nan, 13550.17, nan, 20631.46, 7761.41, nan]",41943.04,"[nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.0,"[0.0, 0.0, 0.0, 0.0, 74.53, 0.0, 113.47, 42.69, 0.0]",230.69,nan,nan
672173771,10036651817,0,6779700,True,1,nan,secondary,50,False,7.24,"[2273, 2291, 220, 909]",61,50.0,0.0,nan,3.0,1.0,4.0,1.0,"[174.36, 222.86, 184.5, 234.89]",816.61,"[256.41, 198.1, 307.5, 210.16]",972.17,"[26.47, 20.94, 31.61, 22.2]",101.22,nan,roundabout
672173771,931755857,0,1095936800,True,1,nan,secondary,50,False,36.698,"[2430, 2429, 910, 2690]",62,50.0,0.001,nan,2.6666666666666665,1.0,4.541666666666667,1.0,"[530.75, 1414.35, 1269.62, 1176.14]",4390.86,"[477.68, 850.29, 1142.66, 1128.46]",3599.09,"[50.45, 92.38, 120.68, 118.75]",382.26,Maastrichterweg,nan
672173771,9646055863,0,6779700,True,1,nan,secondary,50,False,24.984,"[1962, 907, 2284, 2285, 2286, 2287, 2288, 908, 2289, 2290, 214, 216, 218]",121,50.0,0.0,nan,2.6875,1.0,4.294117647058823,1.0,"[216.56, 199.11, 210.49, 194.06, 210.71, 229.78, 240.25, 247.5, 247.12, 234.65, 199.86, 240.88, 231.0]",2901.97,"[132.34, 152.26, 128.63, 128.08, 128.77, 193.5, 208.22, 198.0, 210.06, 209.95, 129.32, 481.75, 300.3]",2601.18,"[14.36, 16.24, 13.96, 13.81, 13.97, 20.52, 22.04, 21.06, 22.26, 22.18, 13.97, 49.26, 31.15]",274.78,nan,roundabout
847933557,847933560,0,71234475,True,nan,nan,secondary,50,False,39.964999999999996,"[1025, 1733, 926]",64,50.0,0.001,nan,5.0,1.0,5.0,1.0,"[1906.88, 3020.4, 4064.85]",8992.13,"[1906.88, 3020.4, 4064.85]",8992.13,"[200.22, 317.14, 426.81]",944.17,Bunderstraat,nan
847933557,6153690991,0,509397985,True,nan,nan,secondary,50,False,80.766,"[1734, 1885, 1045, 251, 253]",112,50.0,0.002,nan,5.0,1.0,5.0,1.0,"[1733.18, 2551.95, 4256.1, 3848.62, 5782.5]",18172.35,"[1733.18, 2551.95, 4256.1, 3848.62, 5782.5]",18172.35,"[181.98, 267.95, 446.89, 404.11, 607.16]",1908.09,Bunderstraat,nan
847933560,1470642590,0,"[720131696, 71234475, 176191796, 720131695]",True,nan,nan,secondary,50,False,121.624,"[2304, 258, 1027, 260, 1030, 263, 264, 927, 2464, 2721, 929, 2722, 1964, 1965, 1966, 1967, 1972, 965, 1230, 1231, 997, 1782, 2555, 2556, 1023]",65,50.0,0.002,nan,4.072727272727272,1.0,5.0,1.0,"[2916.9, 803.02, 1228.5, 852.3, 737.78, 594.9, 352.35, 1948.5, 783.22, 1143.9, 881.1, 727.65, 379.58, 638.33, 1065.15, 4806.23, 1435.28, 539.55, 631.12, 1019.7, 899.78, 1348.65, 389.7, 350.1, 892.12]",27365.41,"[5833.8, nan, 1228.5, 852.3, 737.78, 249.86, 147.99, 1948.5, 1143.51, 1143.9, 881.1, 727.65, nan, 319.16, 852.12, 4613.98, 1363.51, 226.61, 315.56, nan, 377.91, 1348.65, nan, 175.05, 2118.8]",26606.24,"[596.51, 4.42, 128.99, 89.49, 77.47, 28.13, 16.66, 204.59, 118.09, 120.11, 92.52, 76.4, 2.09, 35.27, 90.64, 485.53, 143.56, 25.52, 34.87, 5.61, 42.55, 141.61, 2.14, 19.34, 215.73]",2797.84,Bunderstraat,roundabout
847933560,6153690991,0,71234476,True,nan,nan,secondary_link,50,False,45.454000000000015,"[928, 2560, 930, 931, 932, 1955, 2561, 1018, 2558, 2559]",66,50.0,0.001,nan,5.0,1.0,5.0,1.0,"[1784.02, 269.32, 669.82, 2042.1, 261.45, 315.23, 258.98, 1050.75, 3079.12, 496.35]",10227.14,"[1784.02, 269.32, 669.82, 2042.1, 261.45, 315.23, 258.98, 2626.88, 3079.12, 496.35]",11803.27,"[187.32, 28.28, 70.33, 214.42, 27.45, 33.1, 27.19, 267.15, 323.31, 52.12]",1230.67,Bunderstraat,nan
859543703,2587147871,0,"[490065922, 6779107, 951696835, 284802954, 284803024]",True,"['2', '3']",A2,motorway,100,False,492.062,"[1349, 1414, 1350, 1351, 1353, 1354, 1355, 1356, 1708, 1358, 1618, 1823, 1334, 1336, 2202, 956, 1343]",67,100.0,0.005,yes,1.0,1.0,1.5454545454545454,1.0,"[6549.42, 4231.1, nan, 3964.5, nan, nan, nan, nan, nan, nan, nan, 7704.74, nan, nan, nan, nan, nan]",22449.76,"[6549.42, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 4978.45, nan, nan, nan, nan, nan]",11527.87,"[687.69, 23.27, 0.0, 21.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 537.73, 0.0, 0.0, 0.0, 0.0, 0.0]",1270.49,nan,nan
859543703,3441582565,0,"[587459361, 294298502, 284802950, 294298503]",True,"['2', '1']",A2,motorway_link,100,False,525.486,"[2170, 1770, 1707, 1646, 1301, 1302, 1303, 1305, 1306, 1307, 957, 1502, 1503]",68,100.0,0.005,viaduct,1.9,1.0,2.5806451612903225,1.0,"[nan, nan, nan, nan, 5387.77, 1595.34, 6990.85, 3189.96, 3096.19, nan, nan, nan, 11435.16]",31695.27,"[nan, nan, nan, nan, nan, nan, 10755.15, 2324.33, 3096.19, nan, nan, nan, 10901.02]",27076.69,"[0.0, 0.0, 0.0, 0.0, 29.63, 8.77, 1108.59, 248.82, 325.1, 0.0, 0.0, 0.0, 1147.54]",2868.45,nan,nan
859543718,10036651839,0,1095936814,True,1,nan,secondary,50,False,31.35,"[2439, 2440, 971, 1881, 2460]",70,50.0,0.001,nan,1.1538461538461537,1.0,3.5652173913043477,1.0,"[654.53, 984.19, 933.6, 471.82, 286.87]",3331.01,"[nan, 675.43, 481.97, 220.18, 139.02]",1516.6,"[3.6, 72.62, 53.09, 24.5, 15.41]",169.22,Maastrichterweg,nan
859543718,9646103568,0,6779704,True,1,nan,secondary,50,False,23.619,"[2310, 2311, 2312, 2313, 969, 2314, 2315, 237, 234, 2316, 881, 1044]",122,50.0,0.0,nan,1.5,1.0,3.6363636363636362,1.0,"[154.78, 190.4, 201.98, 305.77, 153.89, 190.4, 237.75, 189.8, 238.25, 237.12, 154.29, 224.56]",2478.99,"[nan, nan, nan, nan, nan, nan, 178.31, nan, 238.25, 139.9, nan, 99.28]",655.74,"[0.85, 1.05, 1.11, 1.68, 0.85, 1.05, 19.05, 1.04, 25.02, 15.22, 0.85, 11.11]",78.88,Knooppunt Hoolhuis,roundabout
860028311,10024605460,0,"[435551040, 6779081, 6779083, 948868235, 6779085, 6779088]",True,2,A79,motorway,100,False,1167.0210000000002,"[129, 134, 138, 139, 140, 141, 2199, 1589, 1590, 1592, 1593, 1594, 979, 983, 87, 984, 2395, 1128, 109, 111, 117, 120]",71,100.0,0.012,yes,,1.0,,1.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,nan,nan
860028311,10024583900,0,"[435551041, 1094518827, 6778693, 27283429]",True,"['2', '3']",A79,motorway,100,False,1224.9279999999999,"[2211, 2157, 2158, 47, 48, 49, 2391, 2392, 1595, 59, 1598]",123,100.0,0.012,nan,1.9228295819935692,1.0,2.1451612903225805,1.0,"[11235.52, 12274.45, 11060.51, nan, 11809.27, 50339.44, 30860.24, nan, 35520.21, 77249.79, 23833.63]",264183.06,"[14852.15, 15274.88, 10026.07, nan, 8591.94, 45243.15, 26417.2, nan, 37799.32, 88707.64, 19146.72]",266059.07,"[1539.58, 1587.36, 1058.43, 0.0, 919.85, 4778.56, 2798.24, 0.0, 3956.39, 9251.28, 2036.18]",27925.87,nan,nan
931725785,8626619502,0,182723360,True,nan,nan,secondary,50,False,10.161,"[1944, 2193, 2188, 2173]",117,50.0,0.0,nan,,1.0,,1.0,"[nan, nan, nan, nan]",0.0,"[nan, nan, nan, nan]",0.0,"[0.0, 0.0, 0.0, 0.0]",0.0,Witte Hoek,roundabout
931755857,10036651839,0,6779708,False,2,nan,secondary,50,True,186.399,"[224, 228, 1736, 2444, 2293, 1142, 2295, 2297, 2299, 2301, 2303]",126,50.0,0.004,nan,1.9,1.0,2.735042735042735,1.0,"[5869.5, 636.54, 2528.42, 583.24, 1389.06, 4075.97, 3716.24, 1533.36, 6864.79, 3334.16, 675.68]",31206.96,"[6104.28, nan, 1872.9, nan, nan, 3315.77, 2204.19, 1369.07, 4176.24, 4793.99, nan]",23836.44,"[639.66, 3.5, 200.26, 3.21, 7.64, 352.34, 239.76, 144.66, 453.29, 495.34, 3.72]",2543.38,Maastrichterweg,nan
931755857,10036651817,0,1095936799,True,1,nan,secondary,50,False,36.754000000000005,"[1000, 2113, 2691, 2428]",75,50.0,0.001,nan,2.0,1.0,3.962962962962963,1.0,"[1387.69, 1202.67, 380.92, 1158.72]",4130.0,"[692.13, 1034.0, 326.5, 785.09]",2837.72,"[76.5, 109.5, 34.58, 84.49]",305.07,Maastrichterweg,nan
1694982268,7197169638,0,"[6773063, 506720936, 506720937, 6773037, 1012211281, 1381044020]",False,"['2', '3']",nan,secondary,50,True,494.15099999999995,"[2056, 2697, 1952, 1954, 1060, 1062, 1065, 1068, 1720, 1722, 1725, 847, 1874, 1876, 855, 857, 863, 865, 868, 870, 2679, 2683]",114,50.0,0.01,nan,3.4215686274509802,1.0,4.225806451612903,1.0,"[15632.78, 4870.06, 1281.6, 13211.43, 1699.24, 2420.04, 2641.8, 289.62, 640.8, 13353.08, 5579.78, 2162.5, 1258.49, 1442.4, 1311.3, 2504.72, 8791.61, 3866.21, 5793.75, 7521.52, 422.42, 2322.45]",99017.6,"[15632.78, nan, 1153.44, 11942.88, 954.81, 1452.02, 2201.5, nan, 512.64, 7252.83, 4866.8, 2279.97, 686.45, 757.26, 1888.27, 1661.03, 6444.11, nan, 8638.48, 7521.52, 305.08, 1699.35]",77851.22,"[1641.44, 26.79, 121.82, 1260.98, 104.35, 157.79, 233.58, 1.59, 54.53, 795.1, 514.94, 238.75, 75.22, 83.28, 195.1, 179.05, 689.54, 21.26, 891.39, 789.76, 32.68, 181.86]",8290.8,Stationstraat,nan
1694982268,2393656555,0,"[460737091, 6773062, 6773038, 6773040, 6773079]",False,"['2', '3']",nan,secondary,50,True,399.276,"[2726, 2695, 872, 2248, 2699, 845, 1872, 849, 851, 1332, 858, 861, 1311]",95,50.0,0.008,nan,1.144578313253012,1.0,1.5578947368421052,1.0,"[369.86, 887.26, nan, nan, 4865.12, 3391.79, 12779.64, nan, 1644.3, 3185.78, 10350.83, 4818.95, nan]",42293.53,"[266.3, 887.26, nan, nan, 4511.7, nan, 9361.83, nan, 1397.18, 3185.78, 8874.05, 3679.92, nan]",32164.02,"[28.53, 93.16, 0.0, 0.0, 475.67, 18.65, 1001.79, 0.0, 148.06, 334.51, 939.9, 392.66, 0.0]",3432.93,"['Prins Mauritslaan', 'Wolfeynde']",nan
1749457312,1755091299,0,"[1239932984, 1239932985]",True,nan,nan,secondary,50,False,108.69500000000001,"[1220, 2634, 2635, 2636, 2637, 2638, 2639, 2644, 2645, 2646, 2647, 2648, 2649]",83,50.0,0.002,nan,,1.0,,1.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.0,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,"['Hussenbergstraat', 'Cruisboomveld']",nan
1912827603,3475088037,0,"[587459370, 215573159]",True,"['3', '1']",A79,motorway_link,100,False,261.072,"[1291, 1293, 1294, 1583, 2127, 1585, 1587, 1236]",84,100.0,0.003,nan,3.268292682926829,1.0,4.836734693877551,1.0,"[nan, nan, nan, 2781.8, nan, 5197.43, 4573.32, 4583.78]",17136.33,"[nan, nan, nan, 2447.98, nan, 4297.39, nan, 3717.95]",10463.32,"[0.0, 0.0, 0.0, 258.87, 0.0, 456.18, 25.15, 395.15]",1135.35,nan,nan
2066650880,2066650883,0,"[71144648, 6772956, 420383492]",True,nan,nan,secondary,50,False,30.784000000000006,"[902, 903, 904, 784, 785, 787, 790, 793, 794, 2221, 2222, 2223, 2224, 2225, 2226, 2227, 2232, 1248, 1251, 1255]",89,50.0,0.001,nan,1.4444444444444444,1.0,2.3684210526315788,1.0,"[411.73, 346.03, 250.72, 242.04, 222.48, 96.01, 237.8, 217.26, 237.78, 280.29, 181.35, 189.57, 97.9, 233.85, 241.31, 237.6, 240.98, 231.3, 110.56, 282.82]",4589.38,"[nan, nan, 259.37, 283.0, nan, nan, 182.92, 114.06, nan, 242.92, nan, nan, nan, 179.89, 163.02, 124.74, nan, 121.43, nan, 245.11]",1916.46,"[2.26, 1.9, 27.19, 29.49, 1.22, 0.53, 19.51, 12.54, 1.31, 25.71, 1.0, 1.04, 0.54, 19.19, 17.55, 13.72, 1.33, 13.35, 0.61, 25.94]",215.93,nan,roundabout
2119022099,3475087790,0,"[340294688, 337060731, 337060728]",True,1,A2,motorway_link,100,False,504.7640000000001,"[1820, 1565, 1827, 1828, 1829, 1830, 1831, 1323, 1324, 1325, 1326, 1327, 1328, 1329, 1330, 1507, 1508, 1509, 1512, 1516, 1517, 1774, 1775, 1776, 1777, 1518, 1519]",106,100.0,0.005,viaduct,3.6911764705882355,1.0,3.621794871794872,1.0,"[nan, 32301.69, nan, nan, 1023.05, 1053.85, 1057.98, nan, 883.25, nan, 943.42, 745.22, 1065.22, 651.5, nan, nan, nan, nan, nan, 650.99, 659.88, nan, 598.44, 601.74, 673.51, 888.16, 1157.08]",44954.98,"[nan, 32115.95, nan, nan, 1023.05, 1053.85, 950.03, nan, 883.25, nan, 943.42, nan, 2556.54, nan, nan, nan, nan, nan, nan, nan, 785.58, nan, nan, nan, 518.09, 666.12, 1031.99]",42527.87,"[0.0, 3373.2, 0.0, 0.0, 107.42, 110.65, 100.35, 0.0, 92.74, 0.0, 99.06, 4.1, 260.23, 3.58, 0.0, 0.0, 0.0, 0.0, 0.0, 3.58, 81.79, 0.0, 3.29, 3.31, 55.25, 71.16, 109.05]",4478.76,nan,nan
2178785461,3441582576,0,337060735,False,2,nan,secondary,50,True,8.794,1535,102,50.0,0.0,nan,,1.0,,1.0,[nan],0.0,[nan],0.0,[0.0],0.0,Ambyerweg,nan
2178785461,3475087790,0,"[587459369, 294242091]",True,2,nan,primary,50,False,170.67899999999997,"[1539, 1283, 1286, 1287, 1545, 1546, 1419, 1745, 2129, 1877, 1878, 1750, 1380, 1510, 1511, 1513, 1389, 1277, 1279]",92,50.0,0.003,nan,2.6153846153846154,1.0,3.5789473684210527,1.0,"[1974.0, 1776.5, nan, nan, nan, nan, 2040.87, 1374.28, nan, nan, nan, 1266.4, nan, nan, nan, nan, nan, nan, nan]",8432.05,"[1974.0, 2812.79, nan, nan, nan, nan, 3198.38, nan, nan, nan, nan, 2279.52, nan, nan, nan, nan, nan, nan, nan]",10264.69,"[207.27, 289.64, 0.0, 0.0, 0.0, 0.0, 329.46, 7.56, 0.0, 0.0, 0.0, 233.78, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1067.71,Nieuwe Limmelderweg,nan
2178785461,2178785463,0,"[207636099, 587459366]",True,2,nan,primary,50,False,210.069,"[1280, 1281, 1282, 1284, 1289, 2061, 2062, 2063, 2064, 2065, 1298, 2067, 2068, 2069, 2066, 1333, 1768, 1520, 1527, 2168, 1276, 1278]",94,50.0,0.004,nan,3.5483870967741935,1.0,3.375,1.0,"[1186.75, nan, 766.4, 2015.75, 3541.02, nan, nan, nan, nan, nan, 1797.08, 1701.77, nan, 1179.25, 793.06, 8526.04, nan, 2101.75, nan, 1964.01, 1145.32, nan]",26718.2,"[1186.75, nan, nan, 1975.44, nan, nan, nan, nan, nan, nan, 1186.07, 2778.4, nan, 1179.25, nan, 8526.04, nan, 2101.75, nan, 1646.3, 1096.34, nan]",21676.34,"[124.61, 0.0, 4.22, 207.64, 19.48, 0.0, 0.0, 0.0, 0.0, 0.0, 127.9, 285.81, 0.0, 123.82, 4.36, 895.23, 0.0, 220.68, 0.0, 174.61, 115.39, 0.0]",2303.75,Nieuwe Limmelderweg,nan
2178785463,3441582565,0,490065923,True,1,nan,motorway_link,50,False,8.839,1533,101,50.0,0.0,nan,,1.0,,1.0,[nan],0.0,[nan],0.0,[0.0],0.0,nan,nan
2587147852,5257356353,0,456837262,True,3,A2,motorway,100,False,198.97000000000003,"[1338, 1749]",96,100.0,0.002,nan,,1.0,,1.0,"[nan, nan]",0.0,"[nan, nan]",0.0,"[0.0, 0.0]",0.0,nan,nan
2587147852,2587147871,0,"[462397447, 284803025, 284803026, 337060730, 337060732]",True,2,A2,motorway,100,False,788.2509999999999,"[1559, 1561, 1562, 1582, 1335, 1337, 1339, 1340, 1341, 1342, 1344, 1345, 1346, 1348, 1740, 1357, 1741, 1743, 1742, 1748, 1753, 1501, 1760]",98,100.0,0.008,viaduct,4.505376344086022,1.0,4.696078431372549,1.0,"[6857.0, nan, 5926.2, 11635.96, 7535.85, nan, nan, nan, nan, 5313.04, 14565.7, nan, nan, nan, nan, nan, nan, nan, nan, 7814.8, 5810.0, nan, 3199.6]",68658.15,"[6384.1, nan, 5876.82, 10833.48, 7535.85, nan, nan, nan, nan, nan, 30535.79, nan, nan, nan, nan, nan, nan, nan, nan, 19537.0, 5810.0, nan, 3080.67]",89593.71,"[672.93, 0.0, 617.34, 1141.93, 791.26, 0.0, 0.0, 0.0, 0.0, 29.22, 3118.42, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1986.91, 610.05, 0.0, 324.12]",9292.18,nan,nan
2587147852,2832217848,0,"[369221729, 720205319]",True,1,A79,motorway,100,False,524.524,"[1696, 1505, 1699, 1415, 1578, 1691, 1711, 1367, 1369, 1371, 1692]",100,100.0,0.005,nan,4.330798479087452,1.0,4.637362637362638,1.0,"[6343.37, 8049.76, 8995.88, 11655.86, 12944.45, 5049.97, nan, 6472.59, 7893.41, 2579.54, 5867.75]",75852.58,"[5904.22, 9154.62, 8830.16, 28656.55, 12068.51, 5049.97, nan, 6259.99, 7606.37, 2160.64, 5867.75]",91558.78,"[622.36, 955.16, 928.08, 2915.43, 1272.01, 530.25, 0.0, 658.47, 800.25, 229.17, 616.11]",9527.29,nan,nan
3441582565,3441582576,0,"[337060737, 587459365]",True,2,nan,primary,50,False,200.889,"[1536, 2169, 1767, 1522, 1523, 1524, 1525, 2070, 2071, 1528, 1529, 1526, 1530, 1532, 1534]",103,50.0,0.004,nan,4.2272727272727275,1.0,3.323529411764706,1.0,"[2387.91, 2068.82, nan, 2292.75, 1825.74, 1975.25, 807.14, 1765.0, 1267.5, nan, nan, 9149.4, nan, nan, nan]",23539.51,"[2387.91, nan, nan, 2292.75, 1639.44, 1975.25, nan, 1765.0, 819.0, nan, nan, 19941.0, nan, nan, nan]",30820.35,"[250.73, 11.38, 0.0, 240.74, 173.17, 207.4, 4.44, 185.32, 88.46, 0.0, 0.0, 2034.45, 0.0, 0.0, 0.0]",3196.09,Nieuwe Limmelderweg,nan
3475087790,3475088037,0,"[340294690, 340294691, 340294686]",True,"['2', '1']",nan,primary,50,False,88.061,"[2131, 1571, 1564, 1574]",105,50.0,0.002,yes,4.0,1.0,4.0625,1.0,"[nan, nan, 2934.88, 7354.69]",10289.57,"[nan, nan, 2885.14, 7303.62]",10188.76,"[0.0, 0.0, 303.21, 767.16]",1070.37,Nieuwe Limmelderweg,nan
9646055861,9646055863,0,6779700,True,1,nan,secondary,50,False,7.691,"[2281, 906, 211, 2283]",119,50.0,0.0,nan,1.0,1.0,3.4,1.0,"[174.36, 216.56, 215.78, 216.45]",823.15,"[120.25, 101.06, 100.7, 120.25]",442.26,"[12.92, 11.25, 11.21, 13.16]",48.54,nan,roundabout
9646055861,10036651817,0,6779700,True,1,nan,secondary,50,False,36.11900000000001,"[2272, 2274, 2275, 2276, 2277, 2278, 2279, 2280, 1963, 219, 911, 912, 913, 914, 212, 215, 217, 2427]",125,50.0,0.001,nan,1.5,1.0,2.4444444444444446,1.0,"[162.91, 105.37, nan, 105.05, 181.52, 201.1, 200.1, 201.2, 175.44, 163.15, 182.34, 137.71, 138.12, 200.7, 201.0, 200.7, nan, 200.2]",2756.61,"[nan, nan, nan, nan, nan, nan, 125.06, nan, nan, nan, 163.48, nan, nan, nan, 105.52, nan, nan, 162.66]",556.72,"[0.9, 0.58, 0.0, 0.58, 1.0, 1.11, 13.54, 1.11, 0.96, 0.9, 17.27, 0.76, 0.76, 1.1, 11.6, 1.1, 0.0, 17.29]",70.56,nan,roundabout
